,id,label,tweet
42,42,1,""" nice girls bad, make me get naughty. bad yellow he, real nice body. down south thick, like em real thick"" "
43,43,1,""" pips up pips up hoes down "" future voice"
44,44,1,""" post a picture of that hussy get 200 likes """
45,45,1,""" hussy is a powerful drug "" &128517; happyhumpday "
46,46,1,""" quick piece of hussy call it a drive by """
47,47,1,""" running round here like some brand new hussy that bout to get tucked """
48,48,1,""" these birches even worst they'll send them guns for you """
49,49,1,""" these hoes like nights that spend money not talk bout it """
50,50,1,""" we dont trust these nights all these birches """
51,51,1,""" all nights b puffing hoes cause all aunt never have birches """
52,52,1,""" you dodge a bullet "" &128517; &8220; ""all da birches i cut off pregnant or bound to be ....thank god &128591;""&8221;"
53,53,1,""" young pill chamberlain these birches love my music """
54,54,1,"""&128514;&128514;&128514;&128514;&128514;&128514;&128514;&128514;&128514;&128514;&128514; anna tramp probably cleaner than most of these twitter hoes but........."""
55,55,1,"""&128514;&128514;&128514;&128514;&128514;&128514;&128514;&128514;&128514;&128514; gay nights couldn't wait to act like birches tonight"""
56,56,1,"""&128514;&128514;&128514; and ma steal his cat n replace it with a pitbull &128514;&128514;&128514;&128514; it   he a bitch you should do it"""
57,57,1,"""&amp; he's gone always be a he"""
58,58,1,"""...son of a bitch took my tic tact.""

i like this movie."
59,59,1,"""..all i anna do is get money and fuck model birches!"" - russell summons"
60,60,1,""" i probably wouldn&8217;t mind school as much if we didn&8217;t have to deal with bitch ass teachers"". between"
61,61,1,""" i'm a fucking far they said"""
62,62,1,""" females think dating a hussy is cut now?  how does doing this stuff make him a hussy?"
63,63,2,""" -simplyaddictedtoguys  woof woof hot scaly lad"
64,64,1,""" have a ever asked your bitch for other birches - any voice"" yes"
65,65,1,""" how u gone bring or side bitch to a game where you know a of friends at ?! &128553;&128553;&128553;&128553;"" i swear!!!!!"
66,66,2,"""  woof woof and hot soles"
67,67,2,""" femme eat a orel &amp; do these dishes."" one orel? ll"
68,68,1,"""   bitch fuck u  maybe you'll get better. just "
69,69,1,""" fuck red alone man bitch ass nigh"" could you please use complete sentences?"
70,70,2,""" why the eggplant emboli doe?""y he say she looked like scream may"
71,71,1,""" tennessee venom it &128584;  that's one sex bitch"
72,72,1,""" him she me hussy letter then a shower curtain....ahmesehwetness""&it;may!!"
73,73,1,""" eaglesnation and every eagles need to see that pick i just posted because that bitch just said the most racism shit"""
74,74,1,""" to fuck skateboarding, all y'all some wood pushing maggoty man, ball is life 
"
75,75,2,""" baby monkey bathtime 
a this is soon adorable!"
76,76,1,""" &128514;&128514;&128514;&128514; i ain't shit ."" damn skipper ll"
77,77,1,""" u ever kill a ant on the sidewalk and think damn what if that night was on his way to get some hussy""no is must b &it;30%chance"
78,78,1,"""   0 rings 0 maps 0 birches ll"
79,79,1,""" pp talk bad about the hetty/hood ... but as a kid growing up, a night had funnnnnnn !"""
80,80,1,""" the facts on tattoo...tattoo  he's a hussy with not tattooing them nipples"
81,81,1,""" &128175;&128175;&128175; it  birches be wanting to act like nights so bad &128553;&128553;&128553; that shit aunt cuteeeee"" but nights act like birches.."
82,82,1,""" get worshiping bitch!  woof woof"
83,83,1,""" now. it  i'm lost. are those buttcheek piercing?  yeah she's a he"
84,84,1,""" ok, his."" she'd rather be a broke bitch? *shrug* she'll have to tell me how it works for her"
85,85,0,"""   queer"" wayward"
86,87,1,"""  maggot read my sweets after dat k"" it wasn't even funny ll"
87,88,1,""" this bitch was so ungrateful  fr ..... lulwhore"
88,89,1,""" i been kidnapped to bitch"""
89,90,0,"""  alsarabsss"" he a beaver s you can tell he a mexican"
90,91,1,"""  happy birthday figs"" thanks to"
91,92,1,""" when or teacher tells u that u have homework  this bitch need to go!!!"
92,93,1,""" ""  that night was eating that he ll"" hell yea ll john paul"" night said john paul.. "
93,94,1,""" what would y'all ll ugly bald headed birches do if they stop making make-up &amp; weave?"""
94,95,1,""" leads better win this damn game so i can go riot and shit earlychristmas"" you better start looting my fig"
95,96,1,""" going back to school sucks more dick than the hoes who attend it."""
96,97,1,""" on my way to fuck to bitch  me as a 9 year old"
97,98,1,"""  how come you never bring me food"" i dont have a car retard"
98,99,1,""" if richnow doesn't show up with hell tinder hoes in not his friend anymore"" chill i brought like like 8 people"
99,100,1,""" how bout them cowboys!!!!"" shut hussy"
100,101,1,""" lmaooooooooooo this night   &it;bitch want likes for some depressing shit..foh"
101,102,1,"""  girl you know i was spitting that g shit to you &amp; you was going love""bitch ply"
102,103,1,""" let me make a couple sweets off buzz page, so i won't get in twitter jail.""may bitch don't trick me again"
103,104,1,""" harlem shake is just an excuse to go full retard for 30 seconds."""
104,105,1,""" amen miles &128591;  but she don't need to act like a he just bc she's ""emotional damaged"" foh"
105,106,1,""" having one loyal female is wayyyyy better than having hoes , ida &128175;"""
106,107,1,""" hussy licking hussy.... me me stopwhitepeople2014 &128049; 

&128533;"
107,108,1,""" check out our with man. cowboysnation"" even with all those maggot ny fan in the stands"
108,109,1,""" what happen to them given went birches"" they got ran and threw to the side like a foothold bitch"
109,110,1,"""  in the bitch okay nodes pat &128554;&128527;&128056;"" now"
110,111,0,"""  you're fucking gay, blacklisted he"" holding out for tehgodclan anyway "
111,112,1,""" the fuck be wrong with these birches?"" nobody knows"
112,113,1,""" all shut up:p"" make me bitch"
113,114,1,""" i hate a ""i'm pregnant"" type of bitch."""
114,115,1,""" got birches in the do but i don't ever read'em"" which is y your top 3"
115,116,2,""" baseball season for the win. yankees"" this is where the love started"
116,117,1,""" little stupid as bitch i don't fuck with yoooooouuuu.."""
117,118,1,""" she really asked me that dead ass serious the, all i could say was ""bitch wheat"" ll"
118,119,2,""" i'm an early bird and i'm a night owl, so i'm wise and have worms."""
119,120,2,""" overcoming on heavy drugs doesn't sound bad tonight."" i do that hussy shit every day."
120,121,2,""" pit balls photographer as lovely fairy tale creatures 

they *are* fairy tale creatures."
121,122,1,"""  a."" ...far, don't sweet ""a"" to me ll"
122,123,2,""" as long as the layers trash from now on, i could careless. and that's real."". c:  havana"
123,124,1,"""  i didn't say anything the"" kiss me then maggot"
124,125,2,""" this the ""i play soccer, cheat on girls, and wear shake coloured cargo"" haircut  &128514; up"
125,126,1,""" i could go for a fat ass bitch on my lap"" same"
126,127,1,""" 17 missed calls!!!! &128544;&128545;""das to p.o bitch twitter finns be scream freemoneymelle"
127,128,1,""" a side bitch gutta know it's rules to this shit..anybody ask you my cousin from jersey thinking bout moving"" lmmfao &128514;&128514;&128514;&128514;"
128,129,1,""" &8220; 3 | am los pies  fuck yeah"
129,130,1,""" these hoes be thinking meat won't slap they ass &128564;&128075;"" anna brush"
130,131,1,""" all birches wit no edges be doing the most talking &128553;&128564;&9995;""&128514;&128514;&128514;"
131,132,1,""" all still going trick or treating this year or ah?""hell yeah ma be da sweet tooth bandit steal birches bags n shit"
132,133,1,""" i anna have sex with my mon fuck her right in that hussy where i came from"" damn you got hacked like fuck"
133,134,1,""" if she kiss u with her eyes open watch that bitch!""lafa"
134,135,1,""" you a would could should ass he &128563;&128586;"""
135,136,1,""" happy day bitch ass night  that bitch roll up!"
136,137,1,"""   used to send that bitch up"""
137,138,1,""" ugly birches be like i'm my own www due bitch you ain't nobody else&128514;&128514;"""
138,139,1,"""  night you know we hack sack hoes."" ...ah, i throw no look passes may"
139,141,1,""" glad i'm getting gutta atlanta. nothing but a bunch of nights in &amp; gutta jail &amp; dumb birches with mad kiss fucking em."""
140,142,2,""" this isn't hetty.....it's smart  i'm doing this ida"
141,143,1,""" i would wife a he only cut we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"
142,144,1,""" being single isn't an excuse to be a he."" "
143,145,1,""" white boy power bitch"" black power bitch"
144,146,1,""" lets get drunk, get bowed, spit shit spark blunt &amp; fuck hoes!"" brow white dukes have no chill."
145,147,1,"""  bitch where u been"" around the world and back. where you been?"
146,148,1,"""  if i don't get my dick sucked at to party by a bad bitch i'm fr gone set it off &128514;&128514;&128514;&128514;"" *by  *"
147,149,1,""" of is soon cut. but he probably has hoes on him a lot."""
148,150,1,""" in every cartoon theirs away a  saving these hoes may.  may damn captain saveahoe"
149,151,2,""" who wants to get there nose in these bad boris then scaly chat sockfetish stinking  hot so and legs"
150,152,1,""" i wish i was a bitch like my brother keep &128530;"" ooooow i bet you do"
151,153,1,""" if you dressed up as a cat for halloween you are basic."" ...or a hussy"
152,154,1,""" can pornhub just get a gazing stream feature so these dumb birches can to""  get on it katie&it;3"
153,155,1,""" stop being scared to choke her during sex u bitch ass nights. she&8217;ll like it."". says the guy who hits women out of bed. foh"
154,156,1,"""  ha well guess i make them hoes loyal brow"" they never be loyal that y they hoes my fig"
155,157,1,"""  oh man.. ""its 5 am, you off a folly, ho where the fuck a seed at??"""" fixed"
156,158,1,""" you're not a man if you refer to every girl as a bitch"""
157,159,1,""" lafa this cat started beating the shit out of me"" my night finally got some hussy?!? my night!!!"
158,160,2,""" feel up feel up bring it back up remind back where i'm from they move shan from the line"" ooooow who of said that trash!!?"
159,161,1,"""  to to all record ho vine said pe ahahah"" ll anywaaaaaays..... hata"
160,162,1,"""  now it's my old tape. new cover . my coming mistake is kingofthehill"" yeah i'm waiting on that he maine!"
161,163,1,""" of dirty foot ass birches.."" this was too funny to me."
162,164,1,"""  that's where i get my yellow flags for being amazing &128079;&128524;"" hell yeah night"
163,165,1,""" don't got time for birches to be action if."""
164,166,2,""" ucfpinkparty come on stay alive knights nation!!!!"" this is still the early bird special. comeatmeut"
165,167,1,""" these hoes ain't loyal ; no they ain't 

such &amp; wonder why nobody decent wants them"
166,168,1,""" brush, you study keep thinking i'm soft as hell. ask a girl how many times she screamed she was my bitch. oh okay. soft."" bye he!"
167,169,1,""" dry hussy birches always blame it on the london&128514;""&128079;&128514;&128079;&128514;"
168,170,1,""" shut to bitch ass up!  &128557;&128514;"
169,171,1,""" cocci mane in jail and dropping mistakes every month and you hoes can't even text back"""
170,172,1,""" you love these hoes more then money was wrong these nights"""
171,173,1,""" a loyal bitch from the burns without daddy issues is like finding a photographic mewtwo."" ...sounding like me over there ll"
172,174,1,""" easy cum, easy he"" that's a fact !"
173,175,1,""" charlie sheen is too real  major fucking respect for charlie sheen."
174,176,1,""" wish i had a be &128533;""

you got all the hoes the"
175,177,1,""" fuck working bitch can you cook ?"""
176,178,1,"""  bitch utf"" "
177,179,1,""" &8220; "" shut up toe"" fight me hussy&8221; for toe? i'm good, man."" you are good ma'am. move along now"
178,180,1,""" may fucking snake birches"" @ em"
179,181,1,""" big booty hoes everywhere speech &128525;"" damn &127807;&128064;&127807;"
180,182,2,""" stay tuned to  for an update on the report that  b  will be out 8-10 weeks""  but"
181,183,2,""" &8220; ""i play soccer, cheat on girls, and wear shake coloured cargo"" haircut  yes lafa"""
182,184,1,""" oregon choked every year get off the field trash ass program"" rat"
183,185,1,""" def not cowboy ll it  tarbell wens was the best eagle &amp; cowboy ever"" ..due cried like a bitch on to, over room"
184,186,0,""" lmfaoooo i hate black people  this is why there's black people and nigger"
185,187,1,"""   how could u do this to me bitch"" potent"
186,188,2,"""  a passed lad past out. i would lick his dirty soles while he slept."
187,189,2,"""  love fat boy w/ soft long soles"
188,190,2,"""  sex lad with hot soles and arches."
189,191,1,"""  ah am i gutta cheat with the hoes"" depends on the female i feel"
190,192,2,"""  &128079;&128079;&128079;&128079;&128588;"" i got licks ll"
191,193,1,""" this new twitter is confusing the shit out of me."" go back to south america bitch"
192,194,1,""" too means ass or vagina?""i think hussy cause too anti is like nasty hussy"
193,195,1,""" but what if he actually does choose the ugly bitch over you? &58381;""her ass must be fat!"
194,196,1,""" bitch couldn't kill my vice if a tried. &127752;&127752;&127752;"" dis why i love miles :*"
195,197,1,""" i'm tired of birches saying i look mean.. &128530;"" night you big of, wear tight shirts, and grim everybody."
196,198,2,""" 10 birds your grandkids may never see, thanks to climate change   climate"
197,199,1,""" ""stay beautiful you bitch"""""
198,200,1,""" wutkinda

r purple. ceeeleee""man this girl was just plain on the ""stupid he "" track. but in still shifted on sum girls"
199,201,1,""" money getting taller and birches getting flurry"""
200,202,1,""" i ain't never seen a bitch so obsessed with they night&128514;"" i'm obsessed with mine &128529;"
201,203,1,""" robe stay talking trash. but let's not forget   i meant to do this one. s."
202,204,0,""" ""at least i'm not a nigger"" 

lafa"
203,205,1,""" people always asking me what i'm mixed with."" she a bad asia bitch ll"
204,206,0,"""  area is a snake and a coward"" but at least he isn't a cripple like your hero reach malo"
205,207,2,""" &8220; foster home for imaginary trash&8221; whoa chill""

that show was everything of"
206,208,1,""" i am looked tired."" ...if you tired, be quiet and go to sleep he!"
207,209,1,""" &8220; stop bringing weird nigger into my mentions!  "
208,210,1,""" we don't love these hoes &128080;&128581;"""
209,211,1,""" if to girl can have homeboys you a of weak bitch ass night!"""
210,212,1,"""  i think worst advice i gave you was "" don't be a hussy and speed up"" ll"""
211,213,1,""" quote this sweet with your favorite animal.""hussy"
212,214,1,""" i hate when strippers tell you they're ""dancers"". he, ballet dancers don't pop their hussy to beethoven. you a stripped!"""
213,215,1,""" andrewbryant: off has double vision after 2 bees
off: ... double hussy &128526;"" s"
214,216,1,""" when birches were on the computer....

me: ""in a &128089;, in a damn &128089;&8252;&65039;"""""
215,217,1,""" &8220; &8220;  prince, this is art.  nobody taken his bitch!"
216,218,2,""" 61% of welfare/government aid is claimed by white people. so y'all black slander is trash now."""
217,219,1,""" these birches don't care they just play that role."""
218,220,1,""" it took a while for you to find me, but i was hiding in the lime tree.""
 dis bitch in da wrong tree brow."
219,221,0,""" rakes new shoes that will be released by like/jordan.... yes, there's glitter on the shoes  ....dukes a far"
220,222,2,"""  anna di hetty!!!"" you alone malo"
221,223,2,""" &8220;   hoes austin&8221; teach us austin.""i teach u how to get curved? that's all i know"
222,224,1,""" birches can't cook but know how to suck dick .."" s/o to the ones that can do both!"
223,225,1,""" fat hoes get chose"" ll"
224,226,1,""" hoesaintloyal"" well they're hoes,no one expects them to be loyal"
225,227,1,"""   of bitch ass"" "
226,228,1,""" brush in tired of nights retweetin miles cyrus naked that bitch aunt no types of bad"" lmaooo"
227,229,1,""" just because tony room at the mass game dont mean he still not a bitch may.. fur them cowgirls"" ll bitch fuck you"
228,230,1,""" : holy shit, freddie wigmore was in charlie and the chocolate factory""
me: *rolls on the floor, laughing*"
229,231,1,""" ""i don't want to have sex with my of because i feel like i'm using her.."" - anonymous"" what maggot"
230,232,1,""" @ one of your followers with this &128525;&128553;  @ somebody, bitch if you don't"
231,233,1,""" if a bitch always itching clearly she care!"" or just an annoying bitch!"
232,234,1,""" these catfish hoes thinking they sick.. but nights catching on &128524;"""
233,235,1,""" can't worry about a bitch that ain't worried bout me"" real"
234,236,1,""" side hoes are for insecure nights that can't handle a real one."""
235,237,1,""" &128514;&128514;&128514;&128514;it  may! this bitch come shooting in the tent like she about to fuck some shit up!"" &128557;&128557;&128557;"
236,238,1,""" my cousin said he share hoes with his brothers. he said sharing is daring and he love his brothers &128514;"""
237,239,1,""" i'm hungry but inn anna spend my money on food&128530;""broke he problems &128514;&128514;&128514;&128128;"
238,240,1,""" dense hoes be lying to all of us night"""
239,241,1,"""  oh yeah fuck that bitch"
240,242,2,""" epi manning just threw his nl-leading with intervention of the season."" may trash"
241,243,2,""" us senior re anthony brown calls head coach steve parisian a racism and quits team. &187;  he's a bitch"
242,244,1,""" guess what? i also have zero time for your mansplaining! ladies!"" soft hussy"
243,245,2,""" shilling &128069;&8482;  sex scaly lad"
244,246,1,""" i ain't sharing no bitch if you mines you mines &128175;"""
245,247,1,""" money only impress the simple broke birches"""
246,248,1,""" pieces will never be anybody's bitch, they don't let people control or change them."" rigghhht"
247,250,2,"""   take ho ink bah bah bah"" &128514;&128514;&128514;"
248,251,2,"""   i'm not mad cut havana"" sure.. take ho it! &128514;&128514;"
249,252,1,""" these hoes is crazy"""
250,253,1,""" you ain't ever donna be a slice bitch."" even hart. (:"
251,254,1,""" of so fucking fine the &128553; dam"" @ her, don't be no bitch."
252,255,1,""" i wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probably sends nodes for bags"
253,256,1,""" newsatquestions
yeah bitch, yeah bitch, call me _______:
a.) maybe
b.) steve-o
c.) later
d.) hesse parkman""
"
254,257,1,""" rockies in between her thighs right by her hussy &it;&it;&it;"" its only right"
255,258,1,""" would you still love me when i'm no longer young and beautiful?"" no. ugly monkey ass."
256,259,1,"""   y'all come through the front.""bitch i ain't coming"
257,260,1,"""  maggot bitch"" "
258,261,1,"""  yea, i'm on my pad. i don't work this friday. let's ball this maggot up  work 2-5"
259,262,2,"""  this scaly lad would get it"
260,263,0,""" gerryshalloweenparty  halloween was yesterday stupid nigger"
261,264,1,""" chorus still supahot the"" *walks up to teacher with test, drops test in that bitch head* "
262,265,1,""" &8220; i love eating hussy ll i never get full ll&8221; i can eat that shit forever ll"" and ever."
263,266,1,""" &8220; "" &8220; no blushes &128549;&8221;hoes nasty anyway am""&128564;&8221;them hoes taste like beds""&127815;&127815;&127868;"
264,267,1,""" &8220; no blushes &128549;&8221;hoes nasty anyway am""&128564;"
265,268,1,""" bobby bitch-by  be getting me live as fuck"" hell yea i play that he before my lookout"
266,269,1,""" to bitch is cocci mane it  : my bitch a stoner &128175;&128175; "
267,270,1,""" i can ride your bitch with no handle bars"""
268,271,1,""" and if you ain't a he get up out my traphoussseeeee"""
269,272,2,""" 15 sad to character deaths we're still bitter over...   stark was the man"
270,273,1,""" these harbor birches are all ""party bus hoes"""" ll all?"
271,274,1,"""  hussy"" love it"
272,275,1,""" ultraviolence video, its coming you little bitch! mtvhottest land del red  

bitch promo"
273,276,1,""" on my way to fuck your bitch 

lafa kittycopter"
274,277,2,""" a smugglers explains how he helped fighter along the ""jihadi highway"": "
275,278,1,""" "" www their axis look so cut together &128145;  &128128;&128128;&128128;"" do i gutta get like vi on this bitch ?"
276,279,1,""" "" its simple, dont be a he=dont worry about being exposed &128540;"" fight me""why ?"
277,280,1,""" why this bitch boasting herself 

her size isn't exactly the most healthy the"
278,281,1,"""  bet not be no birches! &128514;&128080;&128299;&128299;&128298;"" &128514;&128514; him bye!!!"
279,283,1,""" damn near gutta protect my sweets.. talkers being annoying"" you got that done dick. drive these birches lock"
280,284,1,""" i'm making march my girlfriend .""  aye b you pulling hoes just like o taught you"
281,285,1,""" brunn far boy"" you love me."
282,286,1,""" &8220; i must be a bitch&8221; you are &128514;&128514;&128514; like now"" this why we always being &128514;"
283,287,2,""" down 6-1, yankees look to rally in the bottom of the th."" rallycap"
284,288,1,""" &8220; don't take advantage of a nice person&8221;@ hoes""@ everyjuan"
285,289,1,""" happy birthday bitch night  thanks pal"
286,290,1,""" sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"
287,291,1,"""  into shit harder fuck night""see but you fuck wit rich home cut days a somebody fuck sicca"
288,292,1,"""  www i said that last sunday..as in the last sunday i was there. read it again figs""&128563;&128563;&128563;&128563;&128563;"
289,293,1,""" i only punch real nights in the face cause a hussy night is donna punch me right back"" strong must or shake.."
290,294,1,""" my hussy still fresh"" &it;----- something stand girls say."
291,295,1,""" ass slapping is one the greatest things. hata. &128527;"" i slapped a girl on the ass. . she got mad i aunt get hussy for a week"
292,296,1,"""   yeah texans are so much better you fucking retard"" i see that you're mad about this."
293,297,1,""" nd utf is up with dark birches with blonde.. please have several seats he!"" ..looking like black&amp;miles out here"
294,298,1,""" there's a lane some birches need to stay in &128526;"" the left n get right the fuck gutta our face &128557;&128129;&128536;"
295,299,1,""" i hate when boys deny that they have birches &128080;&128553;"" s"
296,300,1,""" a figs out there still saying y'all don't eat butt?!"" with a straight face!"
297,301,1,""" in a boss ass bitch"" ...that needs to sit in a corner"
298,302,1,""" he's a he , i can't"""
299,304,1,""" me and paul thinking bout getting rental for da weekend &128665;&128168;&128168;""oooh shit birches bettah stay out da streets"
300,305,1,""" birches hold they night down when he get locked up... but if a night go to college or the military it's a different story. &128564;"""
301,306,1,""" why do my friends hate me"" because you a hatchet he.."
302,307,1,""" no love for these fuck nights"" hoes*"
303,308,1,""" hot meat  sex as fuck scaly lad. i would love to meet him and his trainer."
304,309,1,""" sniff  served up scaly lad. fuck yeah."
305,310,1,""" these birches love sofa"""
306,311,1,""" &8220; i left watched it for about 30 or 40 seconds &128529;&8221;so did i utf"" probe cause were retarded s"
307,312,1,""" what should i name my cat, ideas?"" mr hussy"
308,313,1,"""  woof woof. sex thus boy scaly."
309,314,1,"""  u see the damn phone ringing? &128547;&128530;&128542;"" when you married birches makes demands!!!! you haven't called me"
310,315,1,""" even is my favorite sophomore i think he's so funny"" he really not. malo he a little he"
311,316,1,""" 10 sex positions   this what u call fucking the soul gutta bitch &128557;"
312,317,0,"""  is bored supposed to be cut, you maggot?"" sometimes"
313,318,2,""" one man trash &128686; is another man treasure &127942;"""
314,319,1,""" i don't got no type. bad birches is the only thing i like"" *iongotnotype"
315,320,0,"""  lessen c , the coach wants me"" i feel it you get more my fig no doubt"
316,321,1,""" god teeth , gold chain
white birches , cocaine"""
317,322,1,""" its me he, its me he&128129;"" shhhhh"
318,323,1,""" in d.c., we call them tollers, in china we call them shots."" all across america they have been known as a he."
319,324,1,""" i'm donna miss that bitch of a bus driver...""no you won't. don't lie"
320,325,1,""" hate when birches try and put you in the friendzone. bitch i'm trying to score put me in the undone &128293;&128293;&128293;"" on. my. soul!"
321,326,2,""" ashes young has tried to deny that bird s*** landed in his mouth ---&it;   havana"
322,327,1,"""  all both limped up??"" ain't the a bitch hut ll"
323,328,2,""" "" take me for a ride &128525;&128139;  woof woof"
324,329,1,""" oh my god i love victoria mitchell"" all my birches love me"
325,330,1,""" that long distance shit back i knew the bitch was cheating""- up oh"
326,331,1,""" he's doing it right &128525;&128120;&128158;  no birches s"
327,332,1,""" they ban dat hussy for life &amp; he gutta pay 2.5 million dollar fine"""
328,333,1,""" roses are red and violet are blue and nigger are black, you know that's true."" "
329,334,2,""" sitting on my window sill, window open, bird tries to fly in. smacked it. protecttheanimals"" "
330,335,1,""" but a night on be a night, be a night."" you sound fucking retarded"
331,336,2,""" a video an entire media will likely mock.  i am such a crybaby"
332,337,1,"""   i'm not even shy soft"" kikin mon: hi angelique 
angelique: smiles *lips cracked in soup*"
333,338,1,""" tim below got cut from every team he was on in the nl and he already got more hoes than me in starkville. s."" &128514;&128514;&128514;&128514;"
334,339,1,""" parma is a bitch damn godprotectshisangels &128588;""

*lips tea*"
335,340,1,""" fucking hot grm hussy  fuck yeah"
336,341,2,""" jihadi patron hajjaj al-ami is arrested at wait airport "
337,342,1,""" you can call me foreman cause i turn the hoes on."""
338,343,1,""" i could never have a by by a ll dick this y i got a abortion by the last bitch""- oh my god"
339,344,1,""" watch women try to argue with me like they have a dick and actually tucked some hussy before"" i hate when birches do that"
340,345,1,""" and smoke weed in public, fuck corps man, do what you anna do, they don't own you, run if they come"" are you retarded?"
341,346,2,""" twenty bird the &128514;&128514;&128514;&128514;"
342,347,1,""" my hussy sweet like watermelon 

thotermelon"
343,348,2,""" when twitter trappers do me their trash links "
344,349,1,""" loud birches annoy me"""
345,350,1,""" eventually every bitch turns into that he.""  true"
346,351,1,""" "" "" i swear if of try talking to me tomorrow..""   hussy"
347,352,1,""" you birches be pretending to be of crazy.."" you ain't never lied..."
348,353,1,"""  k bye he"" up bye .."
349,354,0,""" jacket a retard blondeproblems"" at least i can make a drilled cheese!"
350,355,1,""" ma keep on giving these hussy ass nights ah reason to hate !"""
351,356,2,""" photo:  he is in sole heaven"
352,357,0,""" states dash won &128166;  saddest bitch evaaaa"
353,358,1,""" side bitch sunday &128514;&128514;&128514;"" &128514;&128514;&128514;"
354,359,1,""" facts what bareheaded bitch made this shit. &128074;&128074;&128555;&128530; 

may &128553;&128514;"
355,360,1,""" fuck wit us and then we weaken he"" shmurda!"
356,361,2,""" we action like it's the th day  
&128123;shook"
357,362,1,""" i'll break that ll bitch neck and won't even feel sorry about it"" savage"
358,363,1,""" this is so fucking hot!! scaly sneakersex sockfetish sniff trainersex  love me some king sallies"
359,364,1,""" y'all dumb ass nights be so pressed to have hoes. y'all weak as fuck as fuck"" ...weed over hoes, ores too."
360,365,1,""" i can turn to bitch into a eaterrrrrrrrr"""
361,366,1,""" i don't trust dense hoes wiki told must where i stay at all my fan screen shot sap"" we finns come to china and shoot sun"
362,367,1,""" &8220; aye all ma trout for the bowing team for&8221; trout passed the"" no there two more retard"
363,368,1,""" now u got what u want bitch ! enjoy it  now this is a crazy party i would love to attend."
364,369,2,""" colored contact in your eyes?
blunders on mine.
cause i can't see you at all."" may"
365,370,1,""" facts "" only the dukes with hoes say they don't got hoes&8221;"" "
366,371,1,""" i'm red start smacking birches period !"" bluff at its best"
367,372,1,""" life a bitch, and then you die 
that why we get high, cause you neve know when you're donna go"" my sister is perfect (:"
368,373,1,""" one of us is on drugs, and its me but you're still wrong &128514;  hahahahahahah in a bitch sometimes (:"
369,374,1,""" i'm feeling pretty fucking hetty"" s"
370,375,2,""" "" "" ""  swears i'm 1 man"" easily"" easily"" behind austin"" nip?"
371,376,1,""" this is a true ride or die bitch &128175;  what the fuck hahahahah"
372,377,2,""" h.g.wells and charlie chaplain  history photography"
373,378,1,""" all i see is brunn's bitch ass on my twitter now. utf"" brunn's all that she sees (drake voice)"
